product_id,quantity,unit_price,subtotal,sale_index
25,1,675.0,675.0,0
14,5,15500.0,77500.0,0
15,4,432.0,1728.0,0
33,2,162.0,324.0,1
56,2,399.0,798.0,1
30,3,380.0,1140.0,1
15,4,480.0,1920.0,1
37,3,450.0,1350.0,1
14,3,15500.0,46500.0,1
47,1,320.0,320.0,2
24,5,342.0,1710.0,2
6,5,7500.0,37500.0,2
7,2,4200.0,8400.0,2
46,3,1305.0,3915.0,2
14,2,14725.0,29450.0,3
43,5,617.5,3087.5,3
41,2,5890.0,11780.0,3
33,4,162.0,648.0,3
23,2,220.0,440.0,3
17,5,550.0,2750.0,3
32,4,1250.0,5000.0,4
29,2,850.0,1700.0,4
9,2,12500.0,25000.0,4
20,3,890.0,2670.0,4
44,5,1250.0,6250.0,4
18,3,190.0,570.0,4
6,1,6750.0,6750.0,4
24,3,380.0,1140.0,4
55,5,162.0,810.0,5
34,1,399.0,399.0,5
8,3,12500.0,37500.0,5
19,1,266.0,266.0,6
51,3,250.0,750.0,6
25,2,750.0,1500.0,6
49,3,1200.0,3600.0,6
8,5,12500.0,62500.0,6
34,1,420.0,420.0,6
55,2,180.0,360.0,6
36,5,342.0,1710.0,6
24,2,380.0,760.0,7
47,5,320.0,1600.0,7
53,2,171.0,342.0,7
17,4,522.5,2090.0,8
21,4,650.0,2600.0,8
18,4,180.5,722.0,8
19,2,280.0,560.0,8
6,4,7500.0,30000.0,8
51,3,250.0,750.0,8
27,3,750.0,2250.0,8
36,4,380.0,1520.0,9
35,5,2137.5,10687.5,9
25,3,750.0,2250.0,9
52,3,750.0,2250.0,9
12,3,3040.0,9120.0,9
27,3,750.0,2250.0,9
6,5,7125.0,35625.0,10
24,4,361.0,1444.0,10
11,4,1757.5,7030.0,10
8,5,11875.0,59375.0,10
20,3,801.0,2403.0,10
31,3,450.0,1350.0,10
23,5,220.0,1100.0,10
18,3,180.5,541.5,10
30,3,380.0,1140.0,11
38,5,1250.0,6250.0,11
22,5,304.0,1520.0,11
12,3,3200.0,9600.0,11
44,5,1250.0,6250.0,11
2,4,3200.0,12800.0,11
41,3,6200.0,18600.0,11
54,5,550.0,2750.0,11
50,4,380.0,1520.0,12
1,4,1850.0,7400.0,12
21,1,617.5,617.5,12
28,4,209.0,836.0,12
54,3,522.5,1567.5,13
23,3,209.0,627.0,13
43,5,650.0,3250.0,13
39,2,3325.0,6650.0,13
45,1,807.5,807.5,13
17,4,522.5,2090.0,13
14,2,14725.0,29450.0,14
32,3,1187.5,3562.5,14
9,1,12500.0,12500.0,14
15,5,480.0,2400.0,14
17,1,550.0,550.0,14
19,5,252.0,1260.0,14
2,3,3040.0,9120.0,15
8,1,11875.0,11875.0,15
18,2,190.0,380.0,15
32,1,1187.5,1187.5,15
3,3,4275.0,12825.0,16
17,5,522.5,2612.5,16
55,1,180.0,180.0,16
7,5,4200.0,21000.0,16
6,3,6750.0,20250.0,16
54,2,550.0,1100.0,17
16,4,350.0,1400.0,17
33,2,180.0,360.0,17
